count	reward_sum	squared_reward_sum	length
54	-134.6740014613606	10005.458409505609	823
55	-103.61573286727071	10003.034072101409	186
56	-100.44077882356942	10004.059362053107	122
57	-99.69424288254231	10002.962016826854	114
58	-97.12994303833693	10001.884631727136	109
59	-94.43548522517085	10002.993651401805	115
60	-100.1363252850715	10001.012838577231	122
61	-100.33118755929172	10004.415579761318	122
62	-100.49992576893419	10002.384109178765	112
63	-95.98573386948556	10002.369934341801	122
64	-94.98775904905051	10002.570809707	124
65	-90.74140333663672	10003.206805981601	199
66	-93.78724367078394	10003.864802040851	145
67	-108.88572512753308	10002.741790128832	41
68	-90.24546164134517	10003.540437091191	179
69	-89.87164643127471	10002.322835476873	122
70	-95.70115064177662	10003.119924315157	139
71	-94.68702399730682	10001.631903782978	145
72	-92.25857992144302	10002.364576194812	179
73	-98.99522866681218	10001.679312498978	163
74	-101.09352011501323	10005.688723914816	408
75	-93.07091365836095	10002.275073053212	213
76	-89.17490751110017	10003.090334023113	192
77	-91.57411176897585	10002.316180870233	161
78	-90.82212247466668	10002.28333224826	147
79	-91.49240569351241	10002.945677812415	140
80	-89.83297160593793	10002.914805587932	179
81	-95.22168636322021	10001.431984077071	129
82	-83.06831891089678	10003.690513281372	282
83	-91.81596622150391	10001.754327590868	165
84	-91.88890023948625	10002.03195515112	132
85	-91.07241129130125	10002.93916491431	157
86	-93.82745319232345	10002.263865457962	125
87	-96.61346931708977	10007.628334351584	266
88	-87.13578074704856	10004.746700733276	152
89	-82.28915825486183	10004.642685007659	211
90	-87.83486825972795	10004.01015705302	132
91	-83.07731185015291	10005.08076765308	147
92	-137.15766618633643	10004.149795905778	1122
93	-96.24506312038284	10002.425516831801	99
94	-93.50426065642387	10002.743263713399	93
95	-90.5937767084688	10003.428479880196	94
96	-92.79150721302722	10002.747151206955	86
97	-93.40383817255497	10002.92080114147	98
98	-92.32581875752658	10002.287113412493	109
99	-88.82510807085782	10003.202562680808	119
100	-92.89127913862467	10002.12848479207	119
101	-92.50485580973327	10002.259851735995	96
102	-90.95445238705724	10002.472728526382	116
103	-94.23478521965444	10002.287618424867	116
104	-93.14161667879671	10002.446588823088	97
105	-87.24464910943061	10003.59961926091	120
106	-90.45553576480597	10003.195582601784	106
107	-91.88041467126459	10002.410226884214	108
108	-93.9192949924618	10002.078794945057	99
109	-84.06645076535642	10004.42489285417	137
110	-88.55044835992157	10003.674964531887	108
111	-93.19812184129842	10002.323964421179	120
112	-84.08935419656336	10005.233271615341	167
113	-80.32466990407556	10006.065046810267	152
114	-87.41811254248023	10003.686275603248	161
115	-77.36841221759096	10006.927962647478	364
116	-99.13810780271888	10001.07584335551	82
117	-78.82852264563553	10006.717758889186	260
118	-84.99615579191595	10004.577815652026	199
119	-99.41775265941396	10001.073087879571	84
120	-92.63936036266387	10005.083895656366	216
121	-78.44433816173114	10005.28841252603	199
122	-63.301939158467576	10011.66954910386	600
123	-30.37780177523382	10017.064778839444	896
124	-76.38690111180767	10005.767415194068	226
125	-80.74178240308538	10004.829418327274	157
126	-75.30720418412238	10006.804047618249	196
127	-87.38629403733648	10003.134636155359	123
128	-94.39357282966375	10001.754048717652	87
129	-82.68490206357092	10004.405172338089	145
130	-80.05788175063208	10005.616572049998	169
131	-84.20240748859942	10003.779438972653	178
132	-75.84910680260509	10006.320354776397	160
133	-78.23573332338128	10005.00228928678	176
134	-74.23009407520294	10006.846387720878	191
135	-83.34678033273667	10003.771757862309	181
136	-64.00474901637062	10009.048068948186	372
137	-73.85476101748645	10007.73236224632	242
138	-73.08572536031716	10007.727805599816	286
139	-69.67662725946866	10007.734470698175	269
140	-93.10036681080237	10001.988670033781	107
141	20.82171575212851	10030.05230882857	642
142	43.537730290554464	10037.064615549578	1142
143	-115.70896849530982	10005.580517535791	86
144	-123.2811401411891	10011.49566894635	66
145	-37.09316327795386	10018.30932284958	605
146	-23.272217882797122	10018.472003179113	448
147	-81.4524535862729	10004.97300732027	181
148	-1.5030450318008661	10024.384814351017	552
149	-70.35444051458035	10010.988455517088	497
150	-76.33085615374148	10006.642486295334	155
151	-30.54677879763767	10017.247461205116	374
152	-6.274064220488071	10024.112612202744	510
153	-49.83012012951076	10013.752044002627	264
