count	reward_sum	squared_reward_sum	length
386	-70.27601825486636	7.155911384397963	2000
387	-63.225600710953586	10010.651232360315	615
388	-123.81169202981982	10006.086891048371	843
389	-85.42232138710096	10003.704733486346	140
390	-58.50720191700384	10010.29227831798	310
391	-38.80308297742158	10017.061523194503	438
392	-84.21483481675386	10008.71665011785	259
393	-86.00202952697873	10002.690742803647	158
394	-129.8702238916885	10015.825963411491	1812
395	-33.26404395955615	10013.13916341946	603
396	-32.50761133013293	10014.864739824467	491
397	-66.28175582783297	10007.079325468163	353
398	-88.47569298790768	10002.287300474858	195
399	-107.6399679328897	10009.879688646044	1121
400	-70.04107894364279	10005.18056654778	351
401	-73.36752965021878	10007.612913385507	340
402	-65.62738455180079	12.881759288241717	2000
403	-61.37954180687666	10008.877288129821	289
404	-91.00287976907566	10002.03191630194	148
405	-64.28598227770999	10007.183024750086	355
406	-88.72551568038762	10002.417128626148	147
407	-64.90225202543661	10006.851849942765	312
408	-39.38669895660132	10013.563537525779	523
409	-95.174206469208	10001.523895107559	143
410	-94.46427513402887	10002.404960573676	166
411	-61.45854520983994	10010.328241597756	204
412	-86.37272801343352	10003.434035933544	134
413	-86.4090331303887	10002.926145680816	131
414	33.03428088966757	10028.721307973616	813
415	-84.28553999494761	10009.652317666127	305
416	-61.94199214037508	10010.057004487715	599
417	-87.02305010706186	10004.312012137065	273
418	-70.89443198172376	10007.351404209923	299
419	-21.052975358848926	10031.468747283105	1750
420	-87.10451151872985	10002.765584943862	156
421	-45.510066961171106	10014.081581881219	581
422	-86.7342858039774	10003.05138630578	133
423	-80.47844100929797	10005.153352204336	178
424	-101.99724483583122	10006.142244374061	361
425	-82.68769147945568	10004.805717796942	270
426	-80.81049708428327	10003.761093646934	259
427	-91.8492454434745	10001.623170981053	171
428	44.54184835412889	10028.076210367131	1248
429	-89.95025354158133	10003.088592124335	144
430	-15.02143134077778	14.305019987084666	2000
431	-32.90105838688032	10017.223857120007	1192
432	-80.05711409635842	10004.309230274903	245
433	-47.61516115977429	10013.01304713129	293
434	24.68047105509322	17.455562113676297	2000
435	-49.24173496919684	10008.86511771368	451
436	-45.00215620873496	10010.515497086933	455
437	-76.99121592286974	10009.561864807883	338
438	-145.6124128428055	10013.738732586533	1284
439	-33.95997992577031	10015.797363328855	434
440	22.074833017773926	10026.289708163087	744
441	-76.97809800039977	10005.374785320098	190
442	-60.804619768750854	5.925722784370445	2000
443	-51.611820565361995	11.606052390913693	2000
444	31.494211045093834	10028.492793690739	1184
445	9.044364054687321	10023.928802982218	634
446	-23.09441637294367	10017.250915193137	595
447	-71.32611371821258	10005.696276206849	249
448	-94.74720244249329	10002.499905980014	165
449	-67.07685767393559	10009.508154497073	236
450	-89.73513742443174	10002.113258379704	158
451	-54.420913255773485	5.097721278424758	2000
452	-44.01454118825495	10012.06392483358	344
453	-47.03603444527835	10012.17162210665	307
454	-93.66712111607194	10001.727368324362	162
455	-58.55534484912641	10008.946636790024	315
456	-41.05742525635287	10013.942577548441	376
457	-74.20559215499088	10012.746082946931	851
458	-50.26064218627289	10012.209513484371	384
459	-93.4409454872366	10002.31894521807	183
460	-82.21452377620153	10003.943228664664	208
461	-53.11413571680896	10011.637962484274	361
462	-50.678484414936975	10008.932137827433	381
463	-83.92766428226605	10003.379798746659	152
464	-71.68758925050497	10005.78154045505	290
465	-55.856141429860145	10010.808987018365	287
466	-119.6174713477958	18.975980084156973	2000
467	-59.60870631784201	10007.823340865218	320
468	-9.30218538932968	10021.897654793847	766
469	-69.69322626432404	10006.230090664649	254
470	50.37235864531249	20.746772574170315	2000
471	28.06495343707502	10027.122605450702	817
472	-96.17700979067013	10003.47580991495	237
473	-85.28519490454346	18.075115515765773	2000
474	60.56763279763982	21.37838355926662	2000
475	-51.16185219492763	10017.049465771075	453
476	-53.68714260705747	10011.800555274956	334
477	-53.62469908769708	3.999935333944915	2000
478	20.739300328772515	10025.727285710112	757
479	-108.80524641601369	10006.199028712606	501
480	-6.510725018102676	10018.290638407945	640
481	-93.51099100103602	10002.887692440972	148
482	-53.458955483627506	4.23769326755531	2000
483	4.298417512909509	13.45503230077267	2000
484	-11.892932639457285	10021.566381354452	651
485	-40.14885508490261	10012.203123622709	431
486	-81.33395218383521	10003.99390660675	158
487	-94.97076154779643	10001.760298219815	122
488	27.53186268173158	15.375466759769491	2000
489	-76.13481107866392	10005.94949582226	272
490	-24.578182969242334	10014.062804585243	583
491	-93.1056729061529	10010.464201828428	341
492	-13.673470022622496	10019.191885183327	1025
493	-6.363555945921689	10019.875792796078	645
494	-71.11480242200196	10007.523512817148	260
495	26.385945201152936	23.248950130191247	2000
496	-78.51993751805276	10005.702740163111	232
497	-59.40026209829375	10009.696758687905	357
498	-64.62407996924594	10009.462055717657	185
499	-64.33188667125069	10008.71397065108	205
500	-87.21143185393885	10003.234285818984	147
501	-43.76479445537552	10009.841638594859	554
502	-31.175380263943225	10015.394057180798	446
503	-62.15643971040845	10008.374246450696	285
504	-51.0518360248534	3.4762316553718753	2000
505	-19.558389183308464	9.023831030036277	2000
506	-62.74909492675215	10009.27582460796	296
507	-46.332717060577124	4.233915914845472	2000
508	-25.18429883682984	6.563149548917545	2000
509	47.1110093020834	19.429200446686792	2000
510	-71.98425993835554	10006.693526992114	177
511	-72.55364868836477	10006.01997609873	197
512	55.73204868892208	10030.535991351684	1056
513	-57.926122488453984	10009.326662486466	274
514	58.094080578535795	10029.20387122	1084
515	-60.69442102499306	10009.71868447146	212
516	-6.323277287650853	13.851301779435923	2000
517	-6.066159481066279	10020.669734714456	599
518	-50.387657744809985	10011.523091553894	292
519	-51.25107829179615	10011.147130581454	282
520	-73.31297386623919	10006.677806147965	166
521	-63.94150616787374	10007.71102108201	274
522	-91.19198898226023	12.676728094950361	2000
523	-81.06119401403703	10003.486273732005	200
524	-58.15663671121001	10010.389010858386	235
525	-100.31111595011316	10003.363086894871	239
526	-101.68810715794098	10019.887694757837	1616
527	28.74505996517837	26.006072406280637	2000
528	0.6655376856215298	10020.031668385047	659
529	-48.40872191358358	10011.734191446354	304
530	-76.8626244161278	10004.670354650905	181
531	205.09677862934768	40.5227805644681	1280
532	-70.13569385418668	10006.555920326355	221
533	-63.14755693404004	10006.756093907947	350
534	-29.46514899143949	10014.176349767866	521
535	-55.83074304740876	10010.560420254897	253
536	-60.354088262538426	10009.130790513982	258
537	-50.217098101973534	10015.072269769178	655
538	-80.26871841674438	10004.18462189094	213
539	-21.773117260076106	10014.049384808193	602
540	18.766752913594246	10021.368437609599	901
541	-51.41730556730181	10009.236796341369	329
542	-92.29599437303841	10002.086253739602	146
543	-77.01115233119344	10004.496169224318	195
544	-77.9495507075917	10004.694098270007	202
545	-3.034931765170768	10017.884873824542	764
546	-0.9574028224451467	10018.618236924312	711
547	-72.96642357250676	10006.263796600488	179
548	-80.15299867652357	10004.695012189475	259
549	-63.40184605959803	10006.945145728387	331
550	30.945467239478603	10027.489299009654	779
551	-43.346256426069885	10013.930299475755	334
552	-41.77533941960428	4.014299622045361	2000
553	-87.81794381327927	10002.800275828606	185
554	-74.11640836857259	10007.45487666246	345
555	7.584774451795965	10025.007605958326	786
556	-48.43301946204156	10012.45934919378	344
557	-93.75326459202915	10005.153505512608	184
558	35.10315546859056	10031.469563641713	758
559	-14.614159801742062	10017.051747708365	577
560	-74.71782131213695	10005.716375019992	305
561	-86.01111150346696	10003.84249651052	163
562	-96.595185916638	10002.88186716584	238
563	193.85818218404893	49.28175167039991	1401
564	50.98739026254043	10029.87595739854	990
565	-50.515616295393556	10011.229413806157	278
566	-46.249798427645146	4.587086590957833	2000
567	-65.15541656501591	10006.53997859056	292
568	-77.02707982860738	10004.995975054471	210
569	-75.72141338279471	10004.638755056434	221
570	-86.03599873487838	7.6686220617877385	2000
571	-79.28301891568117	10005.02346447667	180
572	-36.79485981352627	10016.562709152946	404
573	-76.86140808369964	10006.468649996894	143
574	-79.36578289465979	10004.76648480375	177
575	-76.72305940883234	10005.92038324395	144
576	-7.337664275430143	10020.216531257902	586
577	-80.94294553808868	10004.701747931214	139
578	-58.70128101401497	10009.273073130127	313
579	-70.08529331535101	10006.412804860456	232
580	-87.13163748709485	10002.182256073645	164
581	-73.48212190484628	10005.49786015472	229
582	-92.84110017027706	10002.276311935182	125
583	59.45736754243262	31.85292414700548	2000
584	-22.300617693457752	10021.778085273938	761
585	-20.04067449271679	10017.747772186092	488
586	-68.03261219442356	10014.730705149315	578
587	-72.72032218100503	10006.275859734864	201
588	-43.44204457453452	10014.417258260295	388
589	-56.69546736590564	10010.737737748646	233
590	22.223511460702866	10024.042032738167	798
591	4.967874515685253	17.29168471415051	2000
592	-59.08682525891345	10008.745353199538	342
593	0.24387405440211296	10021.85131892457	665
594	-58.015938808210194	10010.580199582259	224
595	-87.7297000803519	10008.664852408148	435
596	-94.61831738753244	10002.64128807635	199
597	33.15060881024692	10030.609244125275	827
598	-139.40721560595557	19.660196144992806	2000
599	46.979558047722094	10031.910527745813	868
600	-87.42177868355066	10002.3608582892	138
601	-64.65837336191908	10009.235468977948	199
602	-2.5990719674155116	10022.071124568392	601
603	-74.16977615747601	10006.127264956687	172
604	47.6894325686153	10035.770416396259	986
605	-98.11883274838328	10002.114005758858	163
606	-92.25923807453364	10001.800601586121	168
607	-33.82112981798127	10013.407313413194	537
608	-34.68606293108314	10015.991707785475	342
609	-82.94215631764382	10003.574666028639	130
610	-52.60748844279442	10009.7472378879	334
